nodos,ejes,bellman,dijkstra_basico,dijkstra_prioridad 
573, 572,1481.29 ,9109.24 ,1350.39
574, 573,1100.41 ,8981.14 ,1072.76
575, 574,1471.22 ,9271.79 ,1429
576, 575,703.212 ,9007.34 ,978.675
577, 576,875.783 ,9093.64 ,1071.32
578, 577,703.491 ,9085.87 ,963.251
579, 578,1890.15 ,9437.55 ,1419.97
580, 579,1492.82 ,9426.59 ,1309.74
581, 580,849.865 ,9283.52 ,1095.05
582, 581,1143.48 ,9477.9 ,1302.06
583, 582,1279.72 ,9644.26 ,1451.68
584, 583,1364.49 ,9696.35 ,1449.59
585, 584,1144.9 ,9758.55 ,1464.12
586, 585,2086.44 ,9837.02 ,1494.27
587, 586,809.029 ,9577.04 ,1045.33
588, 587,1832.53 ,9886.69 ,1478.46
589, 588,2000.92 ,9967.92 ,1522.63
590, 589,1326.77 ,9916.62 ,1404.95
591, 590,1927.11 ,10035.6 ,1520.15
592, 591,1582.64 ,10061.3 ,1438.02
593, 592,1440.91 ,10111.5 ,1483.84
594, 593,1636.97 ,10141.6 ,1461.76
595, 594,1914.45 ,10219.7 ,1487.96
596, 595,1161.59 ,10099.2 ,1257.35
597, 596,1400.66 ,10185.1 ,1334.14
598, 597,952.69 ,10159.4 ,1183.31
599, 598,1383.86 ,10424.9 ,1536.44
600, 599,1296.31 ,10232 ,1207.74
601, 600,1613.3 ,10460.9 ,1464.87
602, 601,1901.15 ,10613.2 ,1583.39
603, 602,2158.96 ,10611.4 ,1526.84
604, 603,528.68 ,10308.5 ,1034.6
605, 604,1631.18 ,10739.5 ,1579.41
606, 605,1789.11 ,10816.4 ,1605.08
607, 606,931.496 ,10571 ,1220.5
608, 607,1178.12 ,10719.5 ,1340.52
609, 608,2241.36 ,10929.4 ,1605.97
610, 609,2093.65 ,11023.6 ,1638.98
611, 610,1183.95 ,10989.3 ,1425.44
612, 611,2541.02 ,11105.1 ,1606.7
